순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,김현수,LG,0.362,117,511,453,95,164,39,2,20,267,101,0,10
2,양의지,두산,0.358,133,503,439,84,157,29,1,23,257,77,0,6
3,이정후,넥센,0.355,109,520,459,81,163,34,2,6,219,57,3,8
4,박병호,넥센,0.345,113,488,400,88,138,20,0,43,287,112,0,3
5,안치홍,KIA,0.342,130,549,494,88,169,38,1,23,278,118,0,9
6,전준우,롯데,0.342,144,614,556,118,190,36,2,33,329,90,1,2
7,김주찬,KIA,0.34,121,471,429,71,146,23,0,18,223,93,2,10
8,최형우,KIA,0.339,143,609,528,92,179,34,1,25,290,103,0,8
9,유한준,KT,0.339,121,480,428,59,145,21,1,20,228,83,2,1
10,김재환,두산,0.334,139,602,527,104,176,36,1,44,346,133,0,7
11,최주환,두산,0.333,138,590,519,87,173,39,6,26,302,108,0,10
11,이대호,롯데,0.333,144,604,543,81,181,30,0,37,322,125,0,4
13,구자욱,삼성,0.333,116,529,478,100,159,26,5,20,255,84,1,2
14,채은성,LG,0.331,139,578,529,78,175,36,2,25,290,119,0,5
15,러프,삼성,0.33,137,597,506,97,167,32,4,33,306,125,0,8
16,이재원,SK,0.329,130,471,407,63,134,24,0,17,209,57,4,5
17,손아섭,롯데,0.329,141,625,553,109,182,32,5,26,302,93,1,1
18,박건우,두산,0.326,125,529,488,79,159,24,6,12,231,84,1,2
19,허경민,두산,0.324,133,577,516,85,167,30,5,10,237,79,5,8
20,박민우,NC,0.324,115,460,411,68,133,22,5,5,180,33,3,4
21,나성범,NC,0.318,144,620,556,110,177,36,3,23,288,91,0,5
22,민병헌,롯데,0.318,118,494,443,74,141,21,0,17,213,66,2,6
23,로맥,SK,0.316,141,616,528,102,167,19,0,43,315,107,0,6
24,이형종,LG,0.316,118,485,437,83,138,27,0,13,204,42,5,0
25,오재원,두산,0.313,132,521,473,78,148,24,1,15,219,81,3,2
26,노수광,SK,0.313,135,588,515,93,161,21,8,8,222,53,9,3
27,김재호,두산,0.311,131,467,402,78,125,20,0,16,193,75,3,6
28,버나디나,KIA,0.31,131,590,513,106,159,25,3,20,250,70,3,1
29,호잉,한화,0.306,142,590,529,85,162,47,2,30,303,110,0,5
30,로하스,KT,0.305,144,645,564,114,172,30,1,43,333,114,1,2
31,박용택,LG,0.303,134,583,524,89,159,38,1,15,244,76,0,7
32,이명기,KIA,0.302,120,502,447,88,135,28,6,4,187,42,11,1
33,이원석,삼성,0.301,128,543,479,74,144,30,1,20,236,93,0,5
34,김헌곤,삼성,0.3,141,586,513,77,154,26,2,11,217,71,5,4
35,박해민,삼성,0.299,144,649,576,114,172,30,10,9,249,68,8,6
36,송광민,한화,0.297,113,460,434,63,129,24,0,18,207,79,0,4
37,유강남,LG,0.296,132,465,425,53,126,33,0,19,216,66,2,1
38,황재균,KT,0.296,142,588,530,76,157,41,3,25,279,88,2,3
39,이성열,한화,0.295,131,528,485,76,143,21,1,34,268,102,1,2
40,김선빈,KIA,0.295,127,492,424,73,125,17,2,4,158,49,6,5
41,신본기,롯데,0.294,139,479,425,55,125,28,1,11,188,71,5,5
42,이용규,한화,0.293,134,575,491,82,144,14,1,1,163,36,8,5
43,임병욱,넥센,0.293,134,447,423,76,124,29,3,13,198,60,0,2
44,강백호,KT,0.29,138,585,527,108,153,32,2,29,276,84,0,3
45,김하성,넥센,0.288,129,576,511,95,147,27,4,20,242,84,1,5
46,한동민,SK,0.284,136,562,486,97,138,31,0,41,292,115,0,8
47,노진혁,NC,0.283,125,458,420,52,119,21,4,11,181,42,1,2
48,김민성,넥센,0.283,128,465,413,46,117,24,0,10,171,45,1,5
49,오재일,두산,0.279,123,477,401,69,112,19,2,27,216,80,0,10
50,오지환,LG,0.278,144,617,533,93,148,26,2,11,211,71,12,6
51,김성현,SK,0.277,135,462,415,51,115,19,1,4,148,55,6,3
52,윤석민,KT,0.276,132,509,460,58,127,22,0,19,206,60,2,3
53,김혜성,넥센,0.27,136,473,430,79,116,15,6,5,158,45,3,2
54,강민호,삼성,0.269,129,477,427,46,115,14,0,22,195,71,0,7
55,번즈,롯데,0.268,133,505,462,80,124,34,5,23,237,64,1,0
56,양석환,LG,0.263,140,519,483,53,127,27,0,22,220,82,1,5
57,김상수,삼성,0.263,122,499,453,63,119,13,1,10,164,50,8,3
58,박경수,KT,0.262,135,528,458,65,120,21,0,25,216,74,0,3
59,스크럭스,NC,0.257,142,571,501,75,129,35,0,26,242,97,0,3
60,하주석,한화,0.254,141,517,484,67,123,20,3,9,176,52,1,0
61,김동엽,SK,0.252,124,446,421,58,106,15,0,27,202,76,1,3
62,최정,SK,0.244,115,489,406,95,99,16,1,35,222,74,0,2
